"Buchungstag";"Wertstellung (Valuta)";"Vorgang";"Buchungstext";"Umsatz in EUR";
"30.12.2022";"31.12.2022";"Kontoabschluss";" Buchungstext: Abschluss Zinsen Kto 559561600EUR von 30.09.2022 bis 31.12.2022 Sollzinsen 7,750% ab 30.09. 0,06- EUR Abschlussrechnung 0,06- EUR Saldo nach Abschluss 5.181,94 EUR Ref. 505C1ESV0BWDDZ17/727";"-0,06";
"30.12.2022";"30.12.2022";"Kontof�hrungsentgelt";" Buchungstext: Entgelt Visa-Kreditkarte Zeitraum: 01.12.2022 bis 31.12.2022 Ref. 2R2C1ESU297PBM65/411948";"-1,90";
"30.12.2022";"30.12.2022";"�bertrag / �berweisung";"Auftraggeber: Volkswagen AG Buchungstext: 0125508862 41637320000801 VW ENTGEL TZAHLUNG 04163732 Ref. I6222356E2803397/34873";"5.211,43";
"29.12.2022";"29.12.2022";"Lastschrift / Belastung";"Auftraggeber: Lastschrift aus Kartenzahlung Buchungstext: SARAY MARKET//Braunschweig/DE 2022-12-28T13:01:37 KFN 1 VJ 2412 Ref. 3M2C1EST2LOOGDWM/32191";"-75,41";
"29.12.2022";"29.12.2022";"Lastschrift / Belastung";"Auftraggeber: APOTHEKE K10 Buchungstext: Apotheke K10//Braunschweig/DE 2022-12-28T16:03:38 KFN 1 VJ 2412 Ref. 3M2C1EST2LOOGDWM/38920";"-11,95";
"29.12.2022";"29.12.2022";"Lastschrift / Belastung";"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 1024350359539 . C1 Cinema Braunsch weig GmbH, Ihr Einkauf bei C1 Cinem a Braunschweig GmbH Ref. IE222361K0750680/5711";"-24,00";
"28.12.2022";"28.12.2022";"Lastschrift / Belastung";"Auftraggeber: Lastschrift aus Kartenzahlung Buchungstext: Heide-Baeckerei Meyer Haupt//Hildes 2022-12-27T12:07:45 KFN 1 VJ 2412 Ref. 0V2C1ESS2SUN600Z/9493";"-4,25";
"28.12.2022";"28.12.2022";"Lastschrift / Belastung";"Auftraggeber: ALDI GmbH + Co. KG SALZGITTER Buchungstext: ALDI SAGT DANKE 14 004//Braunschwei 2022-12-27T14:18:13 KFN 1 VJ 2412 Ref. 262C1ESS26HBLA8Z/13496";"-74,81";
"28.12.2022";"28.12.2022";"�bertrag / �berweisung";"Auftraggeber: Mahmud Agdas Buchungstext: Uebertrag auf Girokonto Ref. CQ5C1ESS1QOMEYR3/1";"200,00";
"28.12.2022";"28.12.2022";"Lastschrift / Belastung";"Auftraggeber: DB Vertrieb GmbH Buchungstext: DB AUTOMAT//BRAUNSCHWEIG HBF/DE 2022-12-27T11:30:35 KFN 1 VJ 2412 Ref. A62C1ESS0W4HAPC8/461";"-10,90";
"28.12.2022";"28.12.2022";"Lastschrift / Belastung";"Auftraggeber: DB Vertrieb GmbH Buchungstext: DB REISEZENTRUM//HILDESHEIM HBF/DE 2022-12-27T12:43:52 KFN 1 VJ 2412 Ref. A62C1ESS0W4HAPC8/425";"-6,00";
"28.12.2022";"28.12.2022";"Lastschrift / Belastung";"Auftraggeber: H+M 081 SAGT VIELEN DANK Buchungstext: ELV66027761 23.12 15.28 ME1 Ref. IB22235882854678/5";"-25,00";
"28.12.2022";"28.12.2022";"Lastschrift / Belastung";"Auftraggeber: H+M 081 SAGT VIELEN DANK Buchungstext: ELV66027762 23.12 15.22 ME1 Ref. IB22235882854678/15";"-51,22";
"28.12.2022";"28.12.2022";"Lastschrift / Belastung";"Auftraggeber: TAKKO HOLDING GMBH Buchungstext: ELV61723034 23.12 14.19 ME1 Ref. HZ22236191620622/2047";"-3,99";
"28.12.2022";"28.12.2022";"Lastschrift / Belastung";"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 1024336600316 . Maisons du Monde A llemagne Gmbh, Ihr Einkauf bei Mais ons du Monde Allemagne Gmbh Ref. HZ22236191904892/16800";"-56,89";
"27.12.2022";"27.12.2022";"�bertrag / �berweisung";"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: . Adidas AG, Ihr Einkauf bei Adidas AG ABBUCHUNG VOM PAYPAL-KONTO Ref. H922236185233258/82608";"65,00";
"27.12.2022";"27.12.2022";"�bertrag / �berweisung";"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: . Fashion Retail SA, Ihr Einkauf be i Fashion Retail SA ABBUCHUNG VOM P AYPAL-KONTO Ref. H922236185233258/78939";"59,30";
"27.12.2022";"27.12.2022";"Lastschrift / Belastung";"Auftraggeber: DM DROGERIEMARKT SAGT DANKE Buchungstext: DM FIL.2250 H:65154//HERMSDORF/DE 2022-12-23T15:36:55 KFN 1 VJ 2412 Ref. 122C1ESR2MELLE2W/165939";"-3,80";
